,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,28684000000.0,36698300000.0,105780800000.0,71958200000.0
Repurchase Of Capital Stock,-1145300000.0,-911900000.0,0.0,-35900000.0
Repayment Of Debt,-5788200000.0,-103459400000.0,-64992800000.0,-41541900000.0
Issuance Of Debt,10317600000.0,1748400000.0,41027700000.0,11955200000.0
Issuance Of Capital Stock,127800000.0,130300000.0,137800000.0,32500000.0
Capital Expenditure,-62001100000.0,-56134100000.0,-19248700000.0,-17062000000.0
End Cash Position,3703700000.0,1205400000.0,1772100000.0,1465300000.0
Beginning Cash Position,1205400000.0,1772100000.0,1472300000.0,4412400000.0
Effect Of Exchange Rate Changes,-6100000.0,-4700000.0,3300000.0,37500000.0
Changes In Cash,2504400000.0,-562000000.0,296500000.0,-2984600000.0
Other Cash Adjustment Inside Changein Cash,0.0,9014800000.0,7421700000.0,0.0
Financing Cash Flow,-16310000000.0,-124979300000.0,-43564700000.0,-49911300000.0
Interest Paid Cff,-7649400000.0,-10261800000.0,-14805400000.0,-19445400000.0
Cash Dividends Paid,-10912700000.0,-10650000000.0,-3748000000.0,-3799800000.0
Common Stock Dividend Paid,0.0,0.0,0.0,-3799800000.0
Net Common Stock Issuance,-1017500000.0,-781600000.0,137800000.0,-3400000.0
Common Stock Payments,-1145300000.0,-911900000.0,0.0,-35900000.0
Common Stock Issuance,127800000.0,130300000.0,137800000.0,32500000.0
Net Issuance Payments Of Debt,4529400000.0,-101711000000.0,-23965100000.0,-25655400000.0
Net Short Term Debt Issuance,2058300000.0,362900000.0,1284300000.0,3931300000.0
Short Term Debt Issuance,2058300000.0,362900000.0,1284300000.0,0.0
Net Long Term Debt Issuance,2471100000.0,-102073900000.0,-25249400000.0,-29586700000.0
Long Term Debt Payments,-5788200000.0,-103459400000.0,-64992800000.0,-41541900000.0
Long Term Debt Issuance,8259300000.0,1385500000.0,39743400000.0,11955200000.0
Investing Cash Flow,-71870700000.0,22570100000.0,-88590000000.0,-42093500000.0
Net Other Investing Changes,0.0,-661800000.0,-27100000.0,-765300000.0
Interest Received Cfi,2827400000.0,1743700000.0,773300000.0,885300000.0
Dividends Received Cfi,0.0,0.0,0.0,324700000.0
Net Investment Purchase And Sale,-5204300000.0,76884600000.0,-70915200000.0,-27803300000.0
Sale Of Investment,71935300000.0,155192000000.0,71626700000.0,34401300000.0
Purchase Of Investment,-77139600000.0,-78307400000.0,-142541900000.0,-62204600000.0
Net Business Purchase And Sale,-8438000000.0,3300000.0,-34200000.0,1536900000.0
Sale Of Business,34900000.0,3300000.0,0.0,1566900000.0
Purchase Of Business,-8472900000.0,0.0,-34200000.0,-30000000.0
Net PPE Purchase And Sale,-61055800000.0,-55399700000.0,-18386800000.0,-16271800000.0
Sale Of PPE,945300000.0,734400000.0,861900000.0,790200000.0
Purchase Of PPE,-62001100000.0,-56134100000.0,-19248700000.0,-17062000000.0
Operating Cash Flow,90685100000.0,92832400000.0,125029500000.0,89020200000.0
Taxes Refund Paid,-11243100000.0,-15548900000.0,-12910000000.0,-8914400000.0
Change In Working Capital,-3369500000.0,-4730200000.0,23289100000.0,4502700000.0
Change In Other Current Assets,-4793000000.0,-4737600000.0,-5552500000.0,-2228800000.0
Change In Payable,18686000000.0,20769000000.0,28702900000.0,2182300000.0
Change In Inventory,-9919100000.0,-15789600000.0,1653800000.0,-689100000.0
Change In Receivables,-7523300000.0,-4952600000.0,-2014800000.0,5041900000.0
Other Non Cash Items,5000100000.0,7587300000.0,13848900000.0,18434500000.0
Stock Based Compensation,355800000.0,240200000.0,121100000.0,167900000.0
Provisionand Write Offof Assets,-1390600000.0,-1321400000.0,528700000.0,-1233400000.0
Depreciation And Amortization,28879900000.0,27147500000.0,27002300000.0,27021600000.0
Amortization Cash Flow,225800000.0,369400000.0,0.0,0.0
Depreciation,28879900000.0,26778100000.0,27002300000.0,27021600000.0
Gain Loss On Investment Securities,-976200000.0,-3632600000.0,-6224800000.0,-3707500000.0
Net Foreign Currency Exchange Gain Loss,-701600000.0,-542800000.0,-110200000.0,276800000.0
Gain Loss On Sale Of PPE,-3400000.0,-32200000.0,-41100000.0,28400000.0
Net Income From Continuing Operations,74162500000.0,83644000000.0,78576400000.0,52423000000.0
